,Datetime,Tweet Id,Text,Username,Month
0,2020-11-28 17:31:42+00:00,1332738952504238085,"Grateful to all who joined us last night!

Wonderful learning from you @theJagmeetSingh - thank you for reminding us that another world is not only possible, but just a few hours’ drive from NYC 😉

$200k+ raised going directly to 6 relief efforts here: https://t.co/Dn7xy2LXCT https://t.co/QbxOoTmOmi",AOC,11
1,2020-11-28 05:55:54+00:00,1332563850743386114,"We did it!

$200k raised in one livestream (on a whim!) for eviction defense, food pantries, and more.

This is going to make such a difference for those who need it most right now.

Thank you all 👾💞 https://t.co/KX5m5GXJ9B",AOC,11
2,2020-11-28 05:44:28+00:00,1332560973933277184,:),AOC,11
3,2020-11-28 03:21:40+00:00,1332525034632515585,@Corpse_Husband DM if you need his contact info,AOC,11
4,2020-11-28 03:20:52+00:00,1332524836518813697,@Corpse_Husband Hasan says he can’t reach you!,AOC,11
5,2020-11-28 01:22:44+00:00,1332495107313033218,"Today I’m using the stream to fundraise for local food pantries, eviction defense legal aid, &amp; community support organizations.

So many people are having a hard time in this crisis. If you’re able, you can help direct aid here efforts here:

https://t.co/Dn7xy2LXCT",AOC,11
6,2020-11-28 00:53:25+00:00,1332487730039754756,"Streaming now!
https://t.co/F2JNKLgFaQ",AOC,11
7,2020-11-27 19:29:45+00:00,1332406276765216770,"And lastly, if you’ve combed through all these other options - our Team AOC shop is in the process of restocking for the holiday season.

https://t.co/FChYMy3UrE

All items are made in the USA and create living wage, dignified union jobs for people across the country 🇺🇸",AOC,11
8,2020-11-27 19:21:06+00:00,1332404097945886722,"Another great gift as well is to support local journalism.

Gift a subscription (digital or physical) to a local newspaper or magazine for a reader in your life.

It’s a great way to support our democracy and independent/local journalism while gifting to others 🎁",AOC,11
9,2020-11-27 19:18:04+00:00,1332403333135556612,"Please consider making contributions (or doing so in a loved ones’ name as a gift) to mutual aid funds, legal aid orgs, and grassroots community groups this season.

It will help with food need, eviction defense, etc.

Put an org you love on your wish list to encourage support!",AOC,11
10,2020-11-27 19:10:31+00:00,1332401436471287810,"On the Bronx side, I ♥️ @thelitbar - an Afro-Latina run bookstore founded as the ONLY bookshop in the Bronx.

If you are planning on gifting new books this year, please order them from an independent bookstore!

https://t.co/0ebFbUPCgq",AOC,11
11,2020-11-27 19:06:58+00:00,1332400539452256260,"Here are a bunch of small businesses from #ShopSmallAstoria in my community, and they ship nationwide. They range from bookshops to zero-waste gifts for friends and family 🎁 https://t.co/IybOMXbBO2",AOC,11
12,2020-11-27 19:03:26+00:00,1332399650171711489,"Today many are buying gifts or donations for the holiday season.

Right now, small businesses &amp; food aids across the country REALLY need our help.

Let’s help &amp; commit to shopping small this year wherever we can.

Comment w/ links for your favorite 🎁 from small biz &amp; orgs below:",AOC,11
